"pi" "gen_id" "country" "region" "Latitude" "Longitude" "Alt" "topsoil_pH" "subsoil_pH" "topsoil_cec" "subsoil_cec" "topsoil_nitrogen" "subsoil_nitrogen" "topsoil_sand" "subsoil_sand" "topsoil_silt" "subsoil_silt" "topsoil_clay" "subsoil_clay" "topsoil_soc" "subsoil_soc" "Ann.Mean.Tmp" "Tmp.Seas" "Mean.Diurn.Rng" "Max.Tmp.Wrm.M" "Min.Tmp.Cld.M" "Mean.Tmp.Wet.Q" "Mean.Tmp.Dry.Q" "Mean.Tmp.Wrm.Q" "Mean.Tmp.Cld.Q" "Ann.Prc" "Prc.Seas" "Prc.Wet.Q" "Prc.Dry.Q" "Prc.Cld.Q" "Prc.Wrm.Q" "Prc.Wet.M" "Prc.Dry.M" "tmean_Q1" "tmean_Q2" "tmean_Q3" "tmean_Q4" "prec_Q1" "prec_Q2" "prec_Q3" "prec_Q4" "is.minicore" "pet_min" "AridityIndex" "max_heat_index" "ann_heat_index" "coldindex.mean" "coldindex.min"
"IS13155" "IS13155.C1AB3ACXX.7.250138416" "Turkey" "Middle East" 41.0333 30.6333 33 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS13263" "IS13263.C1AB3ACXX.7.250138417" "India" "South Asia" 26.28000069 73.01999664 240 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS13264" "IS13264.D0D0HACXX.5.250046082" "India" "South Asia" 26.45 74.6333 503 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS13515" "IS13515.C1AB3ACXX.7.250138419" "Saudi Arabia" "Middle East" 22.6833 45.2167 774 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1360" "IS1360.C1AB3ACXX.7.250137259" "India" "South Asia" 24.62999916 73.23000336 446 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1371" "IS1371.C1AB3ACXX.7.250137260" "India" "South Asia" 16.28000069 79.26000214 261 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS13782" "IS13782.D0D0HACXX.5.250046354" "South Africa" "South Africa" -29.01502 29.87103 1189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 163 3782 143 269 15 205 111 205 109 760 70 366 33 38 366 132 8 202 132.666666666667 128 188.333333333333 329 70 66 295 TRUE 62 5340 12.7762783612345 5.98427367331412 0.273333333333333 0.9
"IS13791" "IS13791.628P7AAXX.7.250007099" "South Africa" "South Africa" -29.01502 29.87103 1189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS13827" "IS13827.70MUKAAXX.2.250006050" "South Africa" "South Africa" -29.01502 29.87103 1189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS13845" "IS13845.628NVAAXX.5.250006901" "South Africa" "South Africa" -29.01502 29.87103 1189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS13893" "IS13893.D0D0HACXX.5.250046355" "South Africa" "South Africa" -29.01502 29.87103 1189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 163 3782 143 269 15 205 111 205 109 760 70 366 33 38 366 132 8 202 132.666666666667 128 188.333333333333 329 70 66 295 TRUE 62 5340 12.7762783612345 5.98427367331412 0.273333333333333 0.9
"IS13919" "IS13919.D0D0HACXX.5.250046356" "South Africa" "South Africa" -29.01502 29.87103 1189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 163 3782 143 269 15 205 111 205 109 760 70 366 33 38 366 132 8 202 132.666666666667 128 188.333333333333 329 70 66 295 TRUE 62 5340 12.7762783612345 5.98427367331412 0.273333333333333 0.9
"IS13926" "IS13926.628NVAAXX.5.250006925" "South Africa" "South Africa" -29.01502 29.87103 1189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
