pi,country,region,score.prc,score.temp,score
IS18303,Niger,West Africa,0,0,0
IS18822,Sudan,East Africa,0,0,0
IS18948,India,South Asia,0,0,0
IS19016,Sudan,East Africa,0,0,0
IS19026,Sudan,East Africa,0,0,0
IS19041,Sudan,East Africa,0,0,0
IS19126,Sudan,East Africa,0,0,0
IS19132,Sudan,East Africa,0,0,0
IS19153,Sudan,East Africa,0,0.272727273,0.272727273
IS19262,Sudan,East Africa,0,0,0
IS19477,South Sudan,East Africa,0,0,0
IS19485,South Sudan,East Africa,0,0,0
IS19494,South Sudan,East Africa,0,0,0
IS19507,South Sudan,East Africa,0,0,0
IS19513,South Sudan,East Africa,0,0,0
IS19520,South Sudan,East Africa,0,0,0
IS19677,India,South Asia,0,0,0
IS19680,India,South Asia,0,0,0
IS19685,India,South Asia,0,0,0
IS19698,India,South Asia,0,0,0
IS19700,India,South Asia,0.166666667,0,0.166666667
IS19706,India,South Asia,0.166666667,0,0.166666667
IS19732,India,South Asia,0.333333333,0.272727273,0.606060606
IS19758,India,South Asia,0,0.363636364,0.363636364
IS19804,India,South Asia,0.333333333,0.454545455,0.787878788
IS19847,India,South Asia,0,0.090909091,0.090909091
IS19859,India,South Asia,0.333333333,0.545454545,0.878787879
IS19946,Senegal,West Africa,0,0,0
IS19950,Senegal,West Africa,0,0.090909091,0.090909091
IS19953,Senegal,West Africa,0.166666667,0.090909091,0.257575758
IS19956,Senegal,West Africa,0,0,0
IS19962,Senegal,West Africa,0,0,0
IS19975,Senegal,West Africa,0.333333333,0.090909091,0.424242424
IS19978,Senegal,West Africa,0.166666667,0,0.166666667
IS19982,Senegal,West Africa,0,0,0
IS19988,Senegal,West Africa,0,0,0
IS19991,Senegal,West Africa,0.166666667,0.363636364,0.53030303
IS19998,Senegal,West Africa,0.166666667,0,0.166666667
IS20004,Senegal,West Africa,0.166666667,0.090909091,0.257575758
IS20016,Senegal,West Africa,0.166666667,0,0.166666667
IS20024,Senegal,West Africa,0.166666667,0,0.166666667
IS20027,Senegal,West Africa,0,0,0
IS20028,Senegal,West Africa,0,0,0
IS20049,Senegal,West Africa,0,0,0
IS20064,Senegal,West Africa,0.166666667,0,0.166666667
IS20073,Senegal,West Africa,0,0,0
IS20087,Senegal,West Africa,0,0.363636364,0.363636364
IS20105,Senegal,West Africa,0.166666667,0,0.166666667
IS20116,Senegal,West Africa,0,0.363636364,0.363636364
IS20125,Senegal,West Africa,0,0,0
IS20158,Niger,West Africa,0,0,0
IS20164,Niger,West Africa,0,0,0
IS20166,Niger,West Africa,0,0,0
IS20173,Niger,West Africa,0,0,0
IS20187,Niger,West Africa,0,0,0
IS20216,Niger,West Africa,0,0,0
IS20225,Niger,West Africa,0,0,0
IS20230,Niger,West Africa,0,0,0
IS20234,Niger,West Africa,0,0,0
IS20243,Niger,West Africa,0,0,0
IS20250,Niger,West Africa,0,0,0
IS20261,Niger,West Africa,0,0,0
IS20300,Niger,West Africa,0,0,0
IS20307,Niger,West Africa,0,0,0
IS20314,Niger,West Africa,0,0,0
IS20328,Niger,West Africa,0,0,0
IS20345,Niger,West Africa,0,0,0
IS20348,Niger,West Africa,0,0,0
IS20363,Niger,West Africa,0,0,0
IS20364,Niger,West Africa,0,0,0
IS20378,Niger,West Africa,0,0,0
IS20398,Niger,West Africa,0,0,0
IS20441,Niger,West Africa,0.166666667,0,0.166666667
IS20448,Niger,West Africa,0,0,0
IS20450,Niger,West Africa,0,0,0
IS20452,Niger,West Africa,0,0,0
IS20460,Niger,West Africa,0,0,0
IS20463,Niger,West Africa,0,0,0
IS20488,Niger,West Africa,0,0,0
IS20490,Niger,West Africa,0,0.090909091,0.090909091
IS20492,Niger,West Africa,0,0,0
IS20497,Niger,West Africa,0,0,0
IS20498,Niger,West Africa,0,0,0
IS20905,Chad,Central Africa,0,0,0
IS21015,Kenya,East Africa,0.333333333,0,0.333333333
IS21055,Kenya,East Africa,0.333333333,0,0.333333333
IS21083,Kenya,East Africa,0.333333333,0,0.333333333
IS21124,Kenya,East Africa,0.333333333,0,0.333333333
IS21126,Kenya,East Africa,0,0,0
IS21139,Kenya,East Africa,0.333333333,0,0.333333333
IS21155,Kenya,East Africa,0.333333333,0.090909091,0.424242424
IS21160,Kenya,East Africa,0.333333333,0,0.333333333
IS21169,Kenya,East Africa,0.333333333,0,0.333333333
IS21186,Kenya,East Africa,0.333333333,0,0.333333333
IS21309,Kenya,East Africa,0,0,0
IS21310,Kenya,East Africa,0,0,0
IS21323,Kenya,East Africa,0,0,0
IS21328,Kenya,East Africa,0,0,0
IS21343,Kenya,East Africa,0,0,0
IS21347,Kenya,East Africa,0.333333333,0,0.333333333
IS21401,Malawi,East Africa,0,0,0
IS21403,Malawi,East Africa,0.166666667,0.090909091,0.257575758
IS21425,Malawi,East Africa,0.166666667,0.090909091,0.257575758
IS21464,Malawi,East Africa,0.166666667,0.181818182,0.348484848
IS21512,Malawi,East Africa,0.166666667,0.181818182,0.348484848
IS21519,Malawi,East Africa,0.166666667,0,0.166666667
IS21521,Malawi,East Africa,0.166666667,0,0.166666667
IS21522,Malawi,East Africa,0,0,0
IS21535,Malawi,East Africa,0,0,0
IS21545,Malawi,East Africa,0.166666667,0,0.166666667
IS21546,Malawi,East Africa,0,0,0
IS21557,Mozambique,East Africa,0,0,0
IS2156,Nigeria,West Africa,0,0,0
IS21565,Malawi,East Africa,0,0,0
IS21583,Malawi,East Africa,0,0.090909091,0.090909091
IS21631,Malawi,East Africa,0,0,0
IS21645,Malawi,East Africa,0.166666667,0.181818182,0.348484848
IS21863,Syrian Arab Republic,West Asia,0,0.090909091,0.090909091
IS21976,India,South Asia,0,0,0
IS21982,India,South Asia,0,0,0
IS21991,India,South Asia,0,0,0
IS21996,India,South Asia,0.166666667,0.363636364,0.53030303
IS21997,India,South Asia,0.166666667,0.363636364,0.53030303
IS22001,India,South Asia,0.166666667,0.363636364,0.53030303
IS22009,India,South Asia,0,0,0
