"","pet_min","AridityIndex","max_heat_index","ann_heat_index","coldindex.mean","coldindex.min"
"IS7845.C1AB3ACXX.7.250137453",12.5131464494766,-517.815977490997,2.70164169122946,1.5472069169639,-0.123009551193031,-0.00504852795859422
"IS7849.C1AB3ACXX.7.250137454",14.8488482142878,-902.251638536231,2.69649543768805,1.43622901562823,-0.116965023307271,0.0124727611056355
"IS7887.C1AB3ACXX.7.250137455",17.8093550897103,-1044.94831541674,2.93669084003391,1.87624973168929,-0.176875822707146,-0.0762584705282565
"IS7892.C1AB3ACXX.7.250137456",14.4252861980178,-801.241748140775,2.96544867682168,1.68881924034536,-0.139245195606994,-0.0163833279162723
"IS7920.C1AB3ACXX.7.250137457",17.4729203616818,-381.51870780748,2.53894202513666,1.75199775880143,-0.183808816782009,-0.106244645005012
"IS7923.C1AB3ACXX.7.250137458",13.7324489524048,-750.733060926111,2.66248173067935,1.72123053985687,-0.150616729420769,-0.0659537601961144
"IS7948.C1AB3ACXX.7.250137459",15.6092943491365,-593.616025709696,2.11626036288854,1.39309475310724,-0.135972765822451,-0.0459635568526313
"IS7995.C1AB3ACXX.7.250137460",13.0370724584206,-827.45954894583,2.40845480731979,1.41721002506022,-0.113538087130035,-0.0197323562637924
"IS8310.C1AB3ACXX.7.250137461",-4.2590085181947,-738.282529868615,3.60060138574884,0.915641447622373,0.0375449591377181,0.0795888702596763
"IS8861.C1AB3ACXX.7.250137462",-5.45386906254869,740.792664137031,-2.15135354353365,-1.6152793612586,0.218756811300603,0.221916343522873
"IS9115.C1AB3ACXX.7.250137463",5.16441549813387,254.641424166747,-0.422668172061631,-0.567028904651685,0.0814075923585364,0.0848148343724477
"IS9720.C1AB3ACXX.7.250137464",-2.17846640644468,-1638.03629610339,3.71148111664761,0.955731078366552,0.103516897081901,0.177980488683726
"IS11954.MRG.4.250047668",9.65940660506062,-2364.45492397536,1.06079076109463,0.418842263252241,-0.00308346293975393,0.0397315356811892
"IS14564.MRG.4.250047679",-8.59125618105089,-81.5131354585697,-1.11748574824659,-1.02317674569121,0.160514936475135,0.16448636892617
"IS14719.MRG.4.250047681",-39.6001191726798,-1565.35624627906,-4.36067259049032,-3.89542486945846,0.594710707826687,0.694495112193258
"IS18948.MRG.4.250047689",-9.49082292850903,-467.482928814842,-0.202365668949985,-0.473650614678053,0.11623658692719,0.112234388933093
"IS2205.MRG.4.250047657",-17.1301291354235,490.287729081684,0.515121956892732,0.501197725607324,0.0756100319161805,0.0487316477430138
"IS32754.MRG.4.250047697",-8.89199790137208,-47.5452566038464,-1.00361387625728,-0.802219401839295,0.126334229577714,0.136496417807316
"IS33844.MRG.4.250047659",-8.79007427502014,6.17541351349765,2.11651543245274,0.596582607150559,0.00817461058712715,0.0197874613244179
"IS10876.628P7AAXX.7.250007049",-1.07739002761031,-1777.17287800641,2.12639518310091,0.380436518318367,0.0980193806442111,0.185435957391153
"IS10882.628P7AAXX.7.250007073",7.8837287612876,-998.804566025986,1.23445098762085,0.469595045880023,-0.0118207397225638,0.0618590583995126
"IS11119.628NVAAXX.5.250006899",2.15220112177429,355.612706355346,-1.26343001788534,-0.5182982700242,0.0661775585349783,0.0646958868381326
"IS1127.70MUKAAXX.1.250006394",-26.0037291921008,-612.352426597746,-0.645437249077204,-1.91223836550588,0.442461179984897,0.489796849678888
"IS11374.70MUKAAXX.2.250006018",-13.4424040817372,866.522799888807,-5.60416211989396,-4.34173099441355,0.482446085489871,0.524698040433909
"IS11758.B064FABXX.1.250009960",0.985993852336241,-1856.58968758266,0.144201555524591,-0.256077106309734,0.0905665040643651,0.108755358846871
"IS11960.D0D0HACXX.5.250046081",-26.9159606529561,-1080.46472299537,-2.50460230863375,-2.00024247999798,0.365583363144496,0.433154678940029
"IS12110.70MUKAAXX.2.250006030",9.84762073681603,-1511.05555327561,1.83144641496365,0.439364351218127,0.0180182739927825,0.0962010037320338
"IS12169.628NVAAXX.5.250006923",-10.841254352217,29.0812800211704,-5.14613806652085,-3.76391037714497,0.396735173944391,0.423892437686611
"IS12531.628NVAAXX.5.250006971",-12.3196226075278,992.096386990855,-5.47120855303404,-4.05459710251415,0.435863515265532,0.469302183993297
"IS13264.D0D0HACXX.5.250046082",-76.1859264587703,1081.02154322424,-5.22917514495917,-5.56300051676946,0.988982769425672,0.854339708821295
"IS13791.628P7AAXX.7.250007099",-53.7155950956214,-231.800784442598,-5.83172390755536,-4.98331714406544,0.733805839158141,0.836752556281613
"IS13827.70MUKAAXX.2.250006050",-27.6990660298164,295.405852431223,-3.87676644817125,-2.92762627513909,0.417602668453694,0.435850628425445
"IS13845.628NVAAXX.5.250006901",-52.8537019015013,-277.631772945291,-5.65811777119342,-4.80547891625232,0.711107307595814,0.813554667699539
"IS13926.628NVAAXX.5.250006925",-55.3028190075649,39.7277408641609,-5.87493553873678,-4.81250996537698,0.705774637931412,0.800418178986779
"IS13989.628NVAAXX.5.250006949",-59.5729767843099,-129.863551164638,-6.12038689591595,-5.31798940567021,0.790580138948695,0.865014269919482
"IS1398.628NVAAXX.5.250006961",-23.2898092611987,-1222.72315722543,1.48828975146324,-0.613456433469635,0.334726479726689,0.336926194278869
"IS14449.70MUKAAXX.2.250006046",-0.903005578542888,-1852.93126705707,0.968684731325861,-0.116447235208742,0.14551764389596,0.194683717706465
"IS14478.70MUKAAXX.2.250006051",5.0686407660772,-1501.2711391636,1.21791903755203,0.462277116563037,0.0087801435055799,0.036400128670847
"IS14556.70MUKAAXX.2.250006075",5.70763210957633,-207.005545523939,1.09369029244826,0.350344993089635,0.0102550216773419,0.0166456620370026
"IS14735.70MUKAAXX.2.250006039",8.20375256164624,-1498.26526661189,0.332532039129225,0.518791236225385,-0.0509818604948734,-0.0536314956471276
"IS19016.70MUKAAXX.2.250006066",10.8762720132428,-1340.44389551034,1.91494776266073,0.949608843085017,-0.0434771141160076,0.0339471232426495
"IS19026.628P7AAXX.7.250007103",-6.16053285045836,-1450.3382003662,1.08072579536342,-0.204293326290662,0.157223751879095,0.268202604913111
"IS19041.70MUKAAXX.2.250006078",-34.9050996331909,-970.799108641244,-2.62926298229234,-3.03082602740571,0.520849712437185,0.61652756943711
"IS19126.D0D0HACXX.5.250046083",-7.05591583566006,-1036.4823356215,-1.03727879449761,-1.08641551059205,0.194610005678232,0.240970560578897
"IS19132.628NVAAXX.5.250006905",-14.1000968150161,-1519.33453605881,-0.221952389724372,-0.98162922135777,0.250050673966257,0.309156245993123
"IS19685.628NVAAXX.5.250006977",-13.9289535564602,1252.64975623594,0.305154273718394,0.243640133893842,0.0824511544231583,0.0144693101079806
"IS19847.70MUKAAXX.2.250006012",-35.2937683750539,-848.788688245016,2.54280188008749,-1.33505787585093,0.526424702179695,0.578368157794983
"IS19953.628P7AAXX.7.250007033",12.3762183335074,2230.74685789484,1.56911630134742,1.48211920751951,-0.147779918256234,-0.0814610593506315
"IS20016.628P7AAXX.7.250007057",21.9295816869535,-739.81504928646,2.81150274865485,1.85356319613568,-0.155854127805423,-0.0221030958808434
"IS20064.628P7AAXX.7.250007081",11.9515512885061,1951.79491720507,1.20208463751969,1.23157012048568,-0.12157369908309,-0.0481380721979267
"IS21124.628NVAAXX.5.250006955",8.52644456929212,963.982437722661,-1.79220098953042,-0.948570111320722,0.0754243265325112,0.0325236519034984
"IS21126.70MUKAAXX.2.250006025",-0.147359731569256,-830.502126706719,0.859264588409092,-0.00190176374247547,0.0702314435815303,0.112421367724623
"IS21401.70MUKAAXX.2.250006035",-5.96459416540901,42.5527391019412,-1.19036011828654,-0.795368054214306,0.100253576856436,0.104232194405521
"IS21425.70MUKAAXX.2.250006057",-19.4331200765848,-690.663667946926,-0.596276117913168,-0.166028684292427,0.135944436002042,0.123253151483838
"IS2156.628P7AAXX.7.250007017",-25.4523218527978,-461.7881711192,-0.714074485570371,-1.11919569097596,0.295123333425669,0.288863288350777
"IS21991.70MUKAAXX.2.250006093",-10.5915517836987,-440.956777256826,1.67362383688784,0.392290831922914,0.0708633258531434,0.0626224034726762
"IS22040.B064FABXX.1.250009992",-5.99177526989057,-1147.63647218856,1.52634004024529,0.427687934136694,0.0146337021861693,0.00927075912308757
"IS22074.70MUKAAXX.2.250006006",-7.20664227670773,-1097.50374070719,1.5463303653613,0.285614167207091,0.0517987957285588,0.0462240805393073
"IS22282.628P7AAXX.7.250007059",-43.2128303735069,-671.714879650983,-4.83784865119543,-3.93408148187464,0.602498253189638,0.713475743487785
"IS22287.628P7AAXX.7.250007083",-49.2985157519305,-1160.77036781298,-4.98708150095524,-4.52792432131296,0.711161607380855,0.816763438690807
